TIME,GEO,UNIT,SEX,AGE,ICD10,Value,Flag and Footnotes
2001,France,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98,858.00,
2001,France,Number,Males,Total,Certain infectious and parasitic diseases (A00-B99),347.00,
2001,France,Number,Males,Total,Tuberculosis,545.00,
2001,France,Number,Males,Total,Meningococcal infection,30.00,
2001,France,Number,Males,Total,Viral hepatitis,471.00,
2001,France,Number,Males,Total,Human immunodeficiency virus [HIV] disease,892.00,
2001,France,Number,Males,Total,Neoplasms,737.00,
2001,France,Number,Males,Total,Malignant neoplasms (C00-C97),481.00,
2001,France,Number,Males,Total,"Malignant neoplasm of lip, oral cavity, pharynx",347.00,
2001,France,Number,Males,Total,Malignant neoplasm of oesophagus,545.00,
2001,France,Number,Males,Total,Malignant neoplasm of stomach,30.00,
2001,France,Number,Males,Total,Malignant neoplasm of colon,471.00,
2001,France,Number,Males,Total,"Malignant neoplasm of rectosigmoid junction, rectum, anus and anal canal",892.00,
2001,France,Number,Males,Total,Malignant neoplasm of liver and intrahepatic bile ducts,737.00,
2001,France,Number,Males,Total,Malignant neoplasm of pancreas,761.00,
2001,France,Number,Males,Total,"Malignant neoplasm of larynx,  trachea, bronchus and lung",177.00,
2001,France,Number,Males,Total,Malignant melanoma of skin,761.00,
2001,France,Number,Males,Total,Malignant neoplasm of breast,177.00,
2001,France,Number,Males,Total,Malignant neoplasm of prostate,30.00,
2001,France,Number,Males,Total,"Malignant neoplasm of kidney, except renal pelvis",471.00,
2001,France,Number,Males,Total,Malignant neoplasm of bladder,892.00,
2001,France,Number,Males,Total,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",737.00,
2001,France,Number,Males,Total,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,481.00,
2001,France,Number,Males,Total,"Endocrine, nutritional and metabolic diseases (E00-E90)",347.00,
2001,France,Number,Males,Total,Diabetes mellitus,545.00,
2001,France,Number,Males,Total,Mental and behavioural disorders (F00-F99),30.00,
2001,France,Number,Males,Total,Mental and behavioural disorders due to use of alcohol,471.00,
2001,France,Number,Males,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",892.00,
2001,France,Number,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),737.00,
2001,France,Number,Males,Total,Meningitis,80.00,
2001,France,Number,Males,Total,Diseases of the circulatory system (I00-I99),737.00,
2001,France,Number,Males,Total,Ischaemic heart diseases,481.00,
2001,France,Number,Males,Total,"Other heart diseases (I30-I33, I39-I52)",347.00,
2001,France,Number,Males,Total,Cerebrovascular diseases,545.00,
2001,France,Number,Males,Total,Diseases of the respiratory system (J00-J99),30.00,
2001,France,Number,Males,Total,Influenza,471.00,
