permalink,company,numEmps,category,city,state,fundedDate,raisedAmt,raisedCurrency,round
lifelock,LifeLock,,web,Tempe,AZ,01-May-07,6850000,USD,b
lifelock,LifeLock,,web,Tempe,AZ,01-Oct-06,6000000,USD,a
lifelock,LifeLock,,web,Tempe,AZ,01-Jan-08,25000000,USD,c
mycityfaces,MyCityFaces,7,web,Scottsdale,AZ,01-Jan-08,50000,USD,seed
flypaper,Flypaper,,web,Phoenix,AZ,01-Feb-08,3000000,USD,a
infusionsoft,Infusionsoft,105,software,Gilbert,AZ,01-Oct-07,9000000,USD,a
gauto,gAuto,4,web,Scottsdale,AZ,01-Jan-08,250000,USD,seed
chosenlist-com,ChosenList.com,5,web,Scottsdale,AZ,01-Oct-06,140000,USD,seed
chosenlist-com,ChosenList.com,5,web,Scottsdale,AZ,25-Jan-08,233750,USD,angel
digg,Digg,60,web,San Francisco,CA,01-Dec-06,8500000,USD,b
digg,Digg,60,web,San Francisco,CA,01-Oct-05,2800000,USD,a
facebook,Facebook,450,web,Palo Alto,CA,01-Sep-04,500000,USD,angel
facebook,Facebook,450,web,Palo Alto,CA,01-May-05,12700000,USD,a
facebook,Facebook,450,web,Palo Alto,CA,01-Apr-06,27500000,USD,b
facebook,Facebook,450,web,Palo Alto,CA,01-Oct-07,300000000,USD,c
facebook,Facebook,450,web,Palo Alto,CA,01-Mar-08,40000000,USD,c
facebook,Facebook,450,web,Palo Alto,CA,15-Jan-08,15000000,USD,c
facebook,Facebook,450,web,Palo Alto,CA,01-May-08,100000000,USD,debt_round
photobucket,Photobucket,60,web,Palo Alto,CA,01-May-06,10500000,USD,b
photobucket,Photobucket,60,web,Palo Alto,CA,01-Mar-05,3000000,USD,a
omnidrive,Omnidrive,,web,Palo Alto,CA,01-Dec-06,800000,USD,angel
